Access_AccessGroup
Access_AccessGrouptype
Access_AccessReview
Access_AnalyticsMasterConfig
Access_ManageAccess
Access_ManageAccessType
Access_Prerequisite
Access_PrerequisiteType
Access_ReviewType
Access_UserProfile
Home_AccessRequest
Admin_CompanySetup
Admin_Delegation
Admin_ManageJob
Admin_ManagePasswordPolicy
Admin_ProvisioningMonitor
Admin_Recipient
Admin_WorkflowActor
Card_ManageCard
Card_ManageCardSubType
Card_ManageCardType
Home_Dashboard
IDM_LocationHierarchy
IDM_LocationType
IDM_ManageIdentity
IDM_ManageIdentityType
IDM_OrganizationHierarchy
IDM_OrganizationType
login_Inbox
Home_MyRequests
Recon_ReconMonitor
Recon_ReconRemediation
Recon_ReconSetup
Settings_CardDesigner
Settings_ConfigureProvisioningAction
Settings_Deligation
Settings_DocumentNumberRange
Settings_Jobtype
Settings_ManageClassDefinition
Settings_ManageScreenControlSet
Settings_MessageMaster
Settings_RequestType
Settings_System
Settings_SystemType
Settings_WorkflowDesigner
PolicyEngine_ManagePolicy
PolicyEngine_ManagePolicyGroup
PolicyEngine_ManagePolicyType
PolicyEngine_ManageResponse
PolicyEngine_ManageResponseCodeType
PolicyEngine_ManageRisk
PolicyEngine_ManageRule
PolicyEngine_ManageRuleSet
PolicyEngine_ManageRuleType
