Access_AccessGroup
Access_AccessGrouptype
Access_AccessReview
Access_AnalyticsMasterConfig
Access_ManageAccess
Access_ManageAccessType
Access_Prerequisite
Access_PrerequisiteType
Access_ReviewType
Access_UserProfile
Home_AccessRequest
Admin_CompanySetup
Admin_ConfigureSetting
Admin_Delegation
Admin_LoggingDetails
Admin_ManageJob
Admin_ManagePasswordPolicy
Admin_ProvisioningMonitor
Admin_Recipient
Admin_WorkflowActor
Card_ManageCard
Card_ManageCardSubType
Card_ManageCardType
Home_Dashboard
IDM_LocationHierarchy
IDM_LocationType
IDM_ManageIdentity
IDM_ManageIdentityType
IDM_OrganizationHierarchy
IDM_OrganizationType
login_Inbox
Home_MyRequests
Recon_ReconMonitor
Recon_ReconRemediation
Recon_ReconSetup
Settings_CardDesigner
Settings_ConfigureDebugLogging
Settings_ConfigureProvisioningAction
Settings_Deligation
Settings_DocumentNumberRange
Settings_Jobtype
Settings_ListEntries
Settings_ManageClassDefinition
Settings_ManageScreenControlSet
Settings_MessageMaster
Settings_RequestType
Settings_System
Settings_SystemType
Settings_WorkflowDesigner
PolicyEngine_ManageMitigation
PolicyEngine_ManagePolicy
PolicyEngine_ManagePolicyGroup
PolicyEngine_ManagePolicyType
PolicyEngine_ManageResponse
PolicyEngine_ManageResponseCodeType
PolicyEngine_ManageRisk
PolicyEngine_ManageRule
PolicyEngine_ManageRuleSet
PolicyEngine_ManageRuleType
VIM_Dashboard
VIM_Visit_Type
VIM_Visitor
VIM_Kiosk_Setup
VIM_Watchlist
VIM_Visit
VIM_Shipment
VIM_Visit_Master
VIM_Visit_Rule
VIM_Shipment_Type
