Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Admin_ProvisioningMonitor-api/system/4,9,474,476,613,629,629,288,629,0.000%,.01547,0.10,0.02
NERC Service Account_WorkflowId,10,238,233,271,271,293,196,293,0.000%,.01852,0.04,0.02
NERC Shared Account_RequestSave,10,569,527,710,710,775,429,775,0.000%,.01855,0.04,0.03
Email ID Change_getnewids,20,144,129,210,214,250,69,250,0.000%,.03509,0.03,0.04
Card_ManageCard-api/asset/find-1,8,173,150,241,275,275,111,275,0.000%,.01574,0.01,0.02
Admin_WorkflowActor-api/access/5049884013106966,8,236,174,251,610,610,137,610,0.000%,.01573,0.03,0.02
Card_ManageCard-api/asset/find-2,8,182,161,255,315,315,119,315,0.000%,.01574,0.01,0.02
Card_ManageCardSubType-api/assetsubtype/find,8,167,168,187,216,216,135,216,0.000%,.01572,0.02,0.02
NERC Built-in-Account_SetDoc-2,10,706,677,873,873,1062,461,1062,0.000%,.01835,0.02,0.02
Card_ManageCard-api/lists/find-1,8,180,168,236,295,295,106,295,0.000%,.01574,0.01,0.02
Card_ManageCard-api/lists/find-2,8,169,146,244,261,261,100,261,0.000%,.01574,0.01,0.02
Card_ManageCardType-api/assettype/find,8,206,227,257,279,279,118,279,0.000%,.01572,0.01,0.02
Request AD Service Account_RequestSave,10,657,577,866,866,875,378,875,0.000%,.01851,0.06,0.03
Request_New_Modify_Remove_Business_Application_Access_RequestSave,50,707,677,930,973,1263,461,1263,0.000%,.08493,0.33,0.15
NERC Shared Account_WorkflowId,10,280,249,355,355,409,181,409,0.000%,.01854,0.04,0.02
Card_ManageCard-api/lists/find-3,8,177,156,225,265,265,124,265,0.000%,.01574,0.01,0.02
Request_New_Email_Access_getnewids,30,128,114,158,185,308,79,308,0.000%,.05169,0.04,0.05
NERC Service Account_SetDoc-1,10,699,672,911,911,917,505,917,0.000%,.01851,0.02,0.02
Email ID Change_api/messagelog/save,20,184,155,242,307,435,114,435,0.000%,.03505,0.03,0.04
Card_ManageCard-api/asset/find-3,8,164,155,194,217,217,111,217,0.000%,.01574,0.01,0.02
Home_Dashboard-api/classdef/find,16,158,155,179,185,284,107,284,0.000%,.03142,0.02,0.04
Request AD Service Account_WorkflowId,10,269,251,323,323,429,177,429,0.000%,.01852,0.04,0.02
IDM_LocationHierarchy-api/classdef/find,8,179,143,210,315,315,131,315,0.000%,.01571,0.03,0.02
